trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.6, 'e': 0.9991181296463766}",20,0,-40.71760354072793,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
43,False,"{'a': 0.6, 'e': 0.9990756424412622}",30,7,-157.80256038996737,"{0: 12, 1: 1, 2: 7, 3: 1, 4: 2}",1
44,False,"{'a': 0.6, 'e': 0.9990321561605888}",30,0,-230.4212035727285,"{0: 14, 1: 6, 2: 4, 3: 3, 4: 3}",0
45,False,"{'a': 0.6, 'e': 0.9989876708478425}",20,0,-52.09160428823232,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
46,False,"{'a': 0.6, 'e': 0.9989421865475084}",20,0,-82.12267180300137,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
47,False,"{'a': 0.6, 'e': 0.9988957033050712}",20,0,-163.77785023335736,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
48,False,"{'a': 0.6, 'e': 0.9988482211670138}",20,0,-122.26852163170012,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
49,False,"{'a': 0.6, 'e': 0.9987997401808185}",20,10,-58.7713593856662,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 1}",1
50,False,"{'a': 0.6, 'e': 0.9987502603949663}",25,0,-76.66941818907863,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
51,False,"{'a': 0.6, 'e': 0.9986997818589368}",20,0,-85.89640171631648,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
52,False,"{'a': 0.6, 'e': 0.9986483046232089}",25,0,-145.15144688198018,"{0: 11, 1: 4, 2: 8, 3: 1, 4: 1}",0
53,False,"{'a': 0.6, 'e': 0.9985958287392593}",20,0,-29.452992142873295,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
54,False,"{'a': 0.6, 'e': 0.9985423542595644}",25,0,-151.80856213343722,"{0: 12, 1: 7, 2: 3, 3: 1, 4: 2}",0
55,False,"{'a': 0.6, 'e': 0.9984878812375985}",35,0,-249.9031221812854,"{0: 23, 1: 1, 2: 5, 3: 1, 4: 5}",0
56,False,"{'a': 0.6, 'e': 0.9984324097278344}",25,7,-26.462075304418885,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 0}",1
57,False,"{'a': 0.6, 'e': 0.9983759397857438}",20,0,-64.07798588945795,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
58,False,"{'a': 0.6, 'e': 0.9983184714677966}",20,0,-99.82911999322572,"{0: 13, 1: 2, 2: 1, 3: 3, 4: 1}",0
59,False,"{'a': 0.6, 'e': 0.9982600048314613}",20,0,-118.73946735851221,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
60,False,"{'a': 0.6, 'e': 0.9982005399352042}",30,0,-133.4196308943607,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
61,False,"{'a': 0.6, 'e': 0.9981400768384904}",20,0,-31.35491421527336,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
62,False,"{'a': 0.6, 'e': 0.9980786156017829}",25,0,-145.93144583593556,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
63,False,"{'a': 0.6, 'e': 0.9980161562865429}",25,0,-189.0145323654167,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 4}",0
64,False,"{'a': 0.6, 'e': 0.99795269895523}",25,0,-123.69953183140134,"{0: 12, 1: 4, 2: 8, 3: 0, 4: 1}",0
65,False,"{'a': 0.6, 'e': 0.9978882436713011}",20,0,-154.51089647121032,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 2}",0
66,False,"{'a': 0.6, 'e': 0.9978227904992117}",20,0,-68.54096286252272,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
67,False,"{'a': 0.6, 'e': 0.9977563395044151}",35,0,-189.23301047786754,"{0: 20, 1: 4, 2: 6, 3: 3, 4: 2}",0
68,False,"{'a': 0.6, 'e': 0.9976888907533621}",20,0,-137.201736556158,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
69,False,"{'a': 0.6, 'e': 0.9976204443135014}",25,0,-83.33029467360885,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
70,False,"{'a': 0.6, 'e': 0.9975510002532796}",25,13,-97.32986250434229,"{0: 5, 1: 0, 2: 5, 3: 1, 4: 1}",1
71,False,"{'a': 0.6, 'e': 0.9974805586421406}",30,0,-124.02833803509674,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
72,False,"{'a': 0.6, 'e': 0.9974091195505261}",30,0,-119.49806700044502,"{0: 19, 1: 3, 2: 5, 3: 2, 4: 1}",1
73,False,"{'a': 0.6, 'e': 0.9973366830498752}",25,0,-59.63530285924051,"{0: 19, 1: 1, 2: 2, 3: 3, 4: 0}",0
74,False,"{'a': 0.6, 'e': 0.9972632492126244}",20,0,-167.2384127985147,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
75,False,"{'a': 0.6, 'e': 0.9971888181122075}",25,0,-122.301892170826,"{0: 16, 1: 5, 2: 1, 3: 1, 4: 2}",0
76,False,"{'a': 0.6, 'e': 0.9971133898230555}",25,0,-61.28276100438853,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
77,False,"{'a': 0.6, 'e': 0.9970369644205967}",25,0,-246.29759758959625,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 5}",0
78,False,"{'a': 0.6, 'e': 0.9969595419812568}",20,0,-115.83104812620847,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
79,False,"{'a': 0.6, 'e': 0.9968811225824579}",25,6,-55.618520787998214,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 0}",1
80,False,"{'a': 0.6, 'e': 0.9968017063026194}",25,0,-162.10061384443526,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
81,False,"{'a': 0.6, 'e': 0.9967212932211577}",25,0,-56.687600289264665,"{0: 19, 1: 1, 2: 3, 3: 2, 4: 0}",0
82,False,"{'a': 0.6, 'e': 0.9966398834184859}",25,0,-71.18908628663115,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
83,False,"{'a': 0.6, 'e': 0.9965574769760137}",25,0,-130.771965520981,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
84,False,"{'a': 0.6, 'e': 0.9964740739761475}",25,0,-69.9304267345319,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
85,False,"{'a': 0.6, 'e': 0.9963896745022904}",30,0,-108.87366125581123,"{0: 19, 1: 2, 2: 8, 3: 0, 4: 1}",1
86,False,"{'a': 0.6, 'e': 0.996304278638842}",20,0,-49.599109872888164,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
87,False,"{'a': 0.6, 'e': 0.9962178864711978}",25,0,-85.30837286080221,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
88,False,"{'a': 0.6, 'e': 0.9961304980857502}",25,0,-152.31144428732878,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
89,False,"{'a': 0.6, 'e': 0.9960421135698875}",20,0,-156.24049916331256,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
90,False,"{'a': 0.6, 'e': 0.9959527330119943}",25,0,-129.93777381307734,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
91,False,"{'a': 0.6, 'e': 0.9958623565014509}",20,0,-105.59536712788672,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
92,False,"{'a': 0.6, 'e': 0.9957709841286342}",35,0,-127.30605346432564,"{0: 23, 1: 7, 2: 2, 3: 1, 4: 2}",0
93,False,"{'a': 0.6, 'e': 0.9956786159849162}",20,0,-148.6390228306131,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
94,False,"{'a': 0.6, 'e': 0.9955852521626654}",20,0,-135.24740359462143,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
95,False,"{'a': 0.6, 'e': 0.9954908927552453}",20,0,-39.93395123354558,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
96,False,"{'a': 0.6, 'e': 0.9953955378570153}",25,0,-153.00138605098982,"{0: 12, 1: 3, 2: 7, 3: 2, 4: 1}",0
97,False,"{'a': 0.6, 'e': 0.9952991875633305}",30,0,-245.99965744720242,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 6}",0
98,False,"{'a': 0.6, 'e': 0.995201841970541}",20,0,-171.25041705184543,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
99,False,"{'a': 0.6, 'e': 0.9951035011759926}",20,0,-62.16069737469736,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
100,False,"{'a': 0.6, 'e': 0.9950041652780258}",25,4,-107.88128736994106,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 1}",1
101,False,"{'a': 0.6, 'e': 0.9949038343759766}",20,0,-86.33913440165442,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
102,False,"{'a': 0.6, 'e': 0.994802508570176}",35,0,-165.85102697292712,"{0: 22, 1: 4, 2: 5, 3: 2, 4: 2}",0
103,False,"{'a': 0.6, 'e': 0.9947001879619498}",20,0,-107.14094059668726,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
104,False,"{'a': 0.6, 'e': 0.9945968726536185}",20,0,-155.41771091407048,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
105,False,"{'a': 0.6, 'e': 0.9944925627484974}",20,0,-46.66554683975002,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
106,False,"{'a': 0.6, 'e': 0.9943872583508965}",25,0,-71.75041446306224,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
107,False,"{'a': 0.6, 'e': 0.9942809595661201}",20,0,-149.54408991689553,"{0: 9, 1: 1, 2: 7, 3: 2, 4: 1}",0
108,False,"{'a': 0.6, 'e': 0.9941736665004669}",30,0,-218.8172080943007,"{0: 15, 1: 2, 2: 8, 3: 3, 4: 2}",0
109,False,"{'a': 0.6, 'e': 0.9940653792612301}",25,0,-16.004094386654643,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
110,False,"{'a': 0.6, 'e': 0.9939560979566968}",20,7,-90.03417610574492,"{0: 6, 1: 2, 2: 3, 3: 1, 4: 1}",1
111,False,"{'a': 0.6, 'e': 0.9938458226961485}",20,0,-69.14125564454035,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
112,False,"{'a': 0.6, 'e': 0.9937345535898603}",30,0,-85.14010004678775,"{0: 20, 1: 3, 2: 5, 3: 2, 4: 0}",0
113,False,"{'a': 0.6, 'e': 0.9936222907491012}",20,0,-128.53872616175792,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
114,False,"{'a': 0.6, 'e': 0.9935090342861342}",30,0,-174.77615828884242,"{0: 19, 1: 4, 2: 3, 3: 1, 4: 3}",0
115,False,"{'a': 0.6, 'e': 0.9933947843142158}",20,0,-33.57123743583191,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
116,False,"{'a': 0.6, 'e': 0.9932795409475959}",25,0,-155.8343396516868,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
117,False,"{'a': 0.6, 'e': 0.9931633043015177}",20,0,-82.72297081218854,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
118,False,"{'a': 0.6, 'e': 0.993046074492218}",25,0,-143.30455278108158,"{0: 12, 1: 5, 2: 5, 3: 2, 4: 1}",0
119,False,"{'a': 0.6, 'e': 0.9929278516369265}",25,0,-203.81565882642892,"{0: 12, 1: 2, 2: 7, 3: 1, 4: 3}",0
120,False,"{'a': 0.6, 'e': 0.9928086358538663}",20,0,-78.35956329279982,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
121,False,"{'a': 0.6, 'e': 0.9926884272622528}",20,0,-68.08998380006756,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
