trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
182,False,"{'a': 0.6, 'e': 0.9834836661932461}",30,11,-46.61333605568949,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 0}",1
183,False,"{'a': 0.6, 'e': 0.9833021775801796}",20,13,-21.676250860571333,"{0: 4, 1: 0, 2: 3, 3: 0, 4: 0}",1
184,False,"{'a': 0.6, 'e': 0.9831197056650174}",20,0,-106.14084360841983,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
185,False,"{'a': 0.6, 'e': 0.9829362506302315}",20,0,-43.17833532355198,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
186,False,"{'a': 0.6, 'e': 0.9827518126592768}",20,0,-87.66295701878215,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
187,False,"{'a': 0.6, 'e': 0.9825663919365915}",30,9,-62.96519922096997,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 1}",1
188,False,"{'a': 0.6, 'e': 0.9823799886475959}",20,0,-127.5841157658457,"{0: 9, 1: 1, 2: 9, 3: 0, 4: 1}",0
189,False,"{'a': 0.6, 'e': 0.9821926029786937}",25,0,-214.42583460828686,"{0: 13, 1: 3, 2: 5, 3: 0, 4: 4}",0
190,False,"{'a': 0.6, 'e': 0.9820042351172703}",30,0,-130.09035443835924,"{0: 23, 1: 1, 2: 1, 3: 3, 4: 2}",0
191,False,"{'a': 0.6, 'e': 0.9818148852516937}",25,17,-8.27528704022278,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
192,False,"{'a': 0.6, 'e': 0.9816245535713135}",20,0,-99.71149970517624,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
193,False,"{'a': 0.6, 'e': 0.9814332402664617}",25,0,-139.77848441923564,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
194,False,"{'a': 0.6, 'e': 0.9812409455284513}",20,0,-43.26416048704696,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
195,False,"{'a': 0.6, 'e': 0.9810476695495772}",25,0,-159.39447688300132,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
196,False,"{'a': 0.6, 'e': 0.9808534125231153}",30,0,-215.29546702073372,"{0: 15, 1: 5, 2: 6, 3: 1, 4: 3}",0
197,False,"{'a': 0.6, 'e': 0.9806581746433226}",25,0,-172.59657206618445,"{0: 16, 1: 0, 2: 5, 3: 1, 4: 3}",0
198,False,"{'a': 0.6, 'e': 0.9804619561054371}",25,1,-37.67618878376326,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 0}",1
199,False,"{'a': 0.6, 'e': 0.9802647571056771}",20,0,-44.16837286432854,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
200,False,"{'a': 0.6, 'e': 0.9800665778412416}",25,4,-54.85945020494126,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 1}",1
201,False,"{'a': 0.6, 'e': 0.97986741851031}",20,0,-93.28864837257835,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
202,False,"{'a': 0.6, 'e': 0.9796672793120416}",20,0,-114.83110260304295,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
203,False,"{'a': 0.6, 'e': 0.9794661604465754}",25,0,-127.73427286729007,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
204,False,"{'a': 0.6, 'e': 0.9792640621150305}",20,4,-8.308645529609148,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
205,False,"{'a': 0.6, 'e': 0.9790609845195051}",20,0,-134.50468736862027,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
206,False,"{'a': 0.6, 'e': 0.9788569278630767}",30,0,-89.23523188317395,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
207,False,"{'a': 0.6, 'e': 0.978651892349802}",20,0,-74.59800772826152,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
208,False,"{'a': 0.6, 'e': 0.9784458781847165}",30,0,-198.94238729996812,"{0: 13, 1: 6, 2: 8, 3: 1, 4: 2}",0
209,False,"{'a': 0.6, 'e': 0.9782388855738344}",25,0,-23.956462221929037,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",1
210,False,"{'a': 0.6, 'e': 0.9780309147241483}",25,0,-155.71940459495727,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
211,False,"{'a': 0.6, 'e': 0.9778219658436289}",20,0,-71.17099265929211,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
212,False,"{'a': 0.6, 'e': 0.9776120391412251}",30,0,-89.8782369051331,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
213,False,"{'a': 0.6, 'e': 0.9774011348268636}",25,0,-49.00479903781037,"{0: 18, 1: 0, 2: 7, 3: 0, 4: 0}",0
214,False,"{'a': 0.6, 'e': 0.9771892531114489}",20,0,-127.96963669676833,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
215,False,"{'a': 0.6, 'e': 0.9769763942068623}",20,0,-101.73728979511316,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
216,False,"{'a': 0.6, 'e': 0.9767625583259631}",25,0,-166.22280102255306,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
217,False,"{'a': 0.6, 'e': 0.976547745682587}",30,18,-34.04064556677515,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 0}",1
218,False,"{'a': 0.6, 'e': 0.9763319564915464}",25,0,-112.5983570226012,"{0: 13, 1: 6, 2: 4, 3: 1, 4: 1}",0
219,False,"{'a': 0.6, 'e': 0.9761151909686308}",25,0,-167.99324921742883,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
220,False,"{'a': 0.6, 'e': 0.9758974493306055}",25,0,-237.46974134333297,"{0: 12, 1: 0, 2: 7, 3: 3, 4: 3}",0
221,False,"{'a': 0.6, 'e': 0.9756787317952123}",20,0,-78.23142479877126,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
222,False,"{'a': 0.6, 'e': 0.9754590385811684}",25,8,-72.6178137603572,"{0: 11, 1: 3, 2: 1, 3: 1, 4: 1}",1
223,False,"{'a': 0.6, 'e': 0.9752383699081674}",20,0,-88.36946898742247,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
224,False,"{'a': 0.6, 'e': 0.9750167259968777}",20,0,-53.26886129920008,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
225,False,"{'a': 0.6, 'e': 0.9747941070689433}",20,0,-89.51804282974712,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
226,False,"{'a': 0.6, 'e': 0.974570513346983}",20,5,-8.634730656512335,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
227,False,"{'a': 0.6, 'e': 0.9743459450545906}",20,0,-107.25926974765687,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
228,False,"{'a': 0.6, 'e': 0.9741204024163344}",20,0,-64.61954768866737,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
229,False,"{'a': 0.6, 'e': 0.9738938856577568}",20,0,-42.86157970976276,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
230,False,"{'a': 0.6, 'e': 0.9736663950053749}",20,0,-132.50779692433264,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
231,False,"{'a': 0.6, 'e': 0.9734379306866789}",35,0,-192.9952809319888,"{0: 21, 1: 3, 2: 8, 3: 0, 4: 3}",0
232,False,"{'a': 0.6, 'e': 0.9732084929301336}",25,0,-106.93944604819465,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
233,False,"{'a': 0.6, 'e': 0.9729780819651762}",20,0,-49.30805702614158,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
234,False,"{'a': 0.6, 'e': 0.9727466980222181}",20,0,-99.22497062945425,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
235,False,"{'a': 0.6, 'e': 0.972514341332643}",25,0,-158.49488822125795,"{0: 17, 1: 0, 2: 2, 3: 4, 4: 2}",0
236,False,"{'a': 0.6, 'e': 0.9722810121288076}",30,0,-154.39563778478112,"{0: 16, 1: 6, 2: 6, 3: 0, 4: 2}",0
237,False,"{'a': 0.6, 'e': 0.9720467106440411}",20,0,-108.5666659009133,"{0: 9, 1: 2, 2: 7, 3: 2, 4: 0}",0
238,False,"{'a': 0.6, 'e': 0.971811437112645}",20,0,-62.194934790096276,"{0: 15, 1: 3, 2: 0, 3: 1, 4: 1}",0
239,False,"{'a': 0.6, 'e': 0.9715751917698927}",20,0,-153.79474195168376,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
240,False,"{'a': 0.6, 'e': 0.9713379748520296}",25,4,-220.3431826623545,"{0: 9, 1: 1, 2: 7, 3: 0, 4: 4}",1
241,False,"{'a': 0.6, 'e': 0.9710997865962726}",25,0,-173.81331960691804,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 4}",0
242,False,"{'a': 0.6, 'e': 0.97086062724081}",20,0,-76.51061110228889,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
243,False,"{'a': 0.6, 'e': 0.970620497024801}",20,0,-161.99135537854445,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
244,False,"{'a': 0.6, 'e': 0.9703793961883759}",25,0,-172.3833723283469,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
245,False,"{'a': 0.6, 'e': 0.9701373249726354}",25,0,-139.21343132730914,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
246,False,"{'a': 0.6, 'e': 0.9698942836196508}",20,0,-116.28738126045624,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
247,False,"{'a': 0.6, 'e': 0.9696502723724634}",20,0,-142.53088823323253,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
248,False,"{'a': 0.6, 'e': 0.9694052914750845}",20,0,-183.48373091633718,"{0: 12, 1: 2, 2: 1, 3: 1, 4: 4}",0
249,False,"{'a': 0.6, 'e': 0.9691593411724948}",20,0,-223.9837202837693,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 5}",0
250,False,"{'a': 0.6, 'e': 0.9689124217106447}",20,0,-75.57022255065138,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
251,False,"{'a': 0.6, 'e': 0.9686645333364537}",25,15,-90.7245950494299,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 2}",1
252,False,"{'a': 0.6, 'e': 0.9684156762978101}",25,11,-92.14203334759351,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 2}",1
253,False,"{'a': 0.6, 'e': 0.9681658508435709}",20,0,-77.40460051476855,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
254,False,"{'a': 0.6, 'e': 0.9679150572235615}",20,4,-39.012872709216126,"{0: 10, 1: 3, 2: 2, 3: 1, 4: 0}",1
255,False,"{'a': 0.6, 'e': 0.9676632956885756}",20,0,-121.64792771475625,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
256,False,"{'a': 0.6, 'e': 0.9674105664903746}",20,0,-91.75280216856194,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
257,False,"{'a': 0.6, 'e': 0.9671568698816877}",25,0,-182.96255317831458,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 3}",0
258,False,"{'a': 0.6, 'e': 0.9669022061162116}",20,0,-43.77719178600847,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
259,False,"{'a': 0.6, 'e': 0.9666465754486098}",20,0,-124.91870257763823,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
260,False,"{'a': 0.6, 'e': 0.9663899781345132}",20,0,-49.11641273328314,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
261,False,"{'a': 0.6, 'e': 0.966132414430519}",20,0,-118.70441968381796,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
262,False,"{'a': 0.6, 'e': 0.9658738845941909}",25,0,-112.15576917987765,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
263,False,"{'a': 0.6, 'e': 0.9656143888840587}",20,0,-108.68127129989261,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
264,False,"{'a': 0.6, 'e': 0.965353927559618}",20,0,-54.249028150621704,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
265,False,"{'a': 0.6, 'e': 0.9650925008813303}",25,0,-154.09490799763103,"{0: 11, 1: 3, 2: 7, 3: 4, 4: 0}",0
266,False,"{'a': 0.6, 'e': 0.9648301091106221}",25,0,-127.09449865539176,"{0: 13, 1: 2, 2: 7, 3: 3, 4: 0}",0
267,False,"{'a': 0.6, 'e': 0.9645667525098851}",25,0,-104.30895330264036,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
268,False,"{'a': 0.6, 'e': 0.9643024313424761}",20,0,-162.09801711107758,"{0: 9, 1: 4, 2: 3, 3: 2, 4: 2}",0
269,False,"{'a': 0.6, 'e': 0.964037145872716}",20,0,-184.39346466995121,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
270,False,"{'a': 0.6, 'e': 0.9637708963658905}",30,0,-269.6626535570205,"{0: 16, 1: 0, 2: 9, 3: 0, 4: 5}",0
271,False,"{'a': 0.6, 'e': 0.9635036830882489}",25,0,-79.82501053066602,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
272,False,"{'a': 0.6, 'e': 0.9632355063070045}",20,0,-38.46932894942943,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
273,False,"{'a': 0.6, 'e': 0.962966366290334}",20,0,-74.15625979410393,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
274,False,"{'a': 0.6, 'e': 0.9626962633073776}",20,0,-27.626484124633713,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
275,False,"{'a': 0.6, 'e': 0.962425197628238}",25,0,-91.60948069108136,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
276,False,"{'a': 0.6, 'e': 0.9621531695239809}",20,0,-50.91425608186052,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
277,False,"{'a': 0.6, 'e': 0.9618801792666346}",20,0,-144.98376650403844,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
278,False,"{'a': 0.6, 'e': 0.9616062271291891}",20,0,-30.810163532377043,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
279,False,"{'a': 0.6, 'e': 0.9613313133855966}",30,3,-112.23211468952188,"{0: 15, 1: 4, 2: 5, 3: 3, 4: 0}",1
280,False,"{'a': 0.6, 'e': 0.9610554383107709}",30,0,-65.10918427376464,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
281,False,"{'a': 0.6, 'e': 0.960778602180587}",25,0,-86.63542675956583,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
282,False,"{'a': 0.6, 'e': 0.960500805271881}",20,8,-54.765765659870794,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 1}",1
283,False,"{'a': 0.6, 'e': 0.9602220478624496}",25,0,-137.4512443482566,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
284,False,"{'a': 0.6, 'e': 0.9599423302310505}",35,0,-195.37506985590136,"{0: 23, 1: 2, 2: 5, 3: 2, 4: 3}",0
285,False,"{'a': 0.6, 'e': 0.9596616526574011}",25,0,-227.83064688227887,"{0: 14, 1: 0, 2: 6, 3: 1, 4: 4}",0
286,False,"{'a': 0.6, 'e': 0.959380015422179}",20,6,-47.909342107299885,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
287,False,"{'a': 0.6, 'e': 0.9590974188070215}",30,0,-149.1211743435083,"{0: 16, 1: 7, 2: 5, 3: 0, 4: 2}",0
288,False,"{'a': 0.6, 'e': 0.9588138630945251}",20,0,-139.5698429903492,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
289,False,"{'a': 0.6, 'e': 0.9585293485682455}",25,0,-33.82442536044302,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
290,False,"{'a': 0.6, 'e': 0.9582438755126972}",20,0,-83.59775981599446,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
291,False,"{'a': 0.6, 'e': 0.9579574442133532}",30,17,0.3411027425724371,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
292,False,"{'a': 0.6, 'e': 0.9576700549566448}",25,15,-12.7243479871534,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
293,False,"{'a': 0.6, 'e': 0.9573817080299614}",25,0,-68.63956690578605,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
294,False,"{'a': 0.6, 'e': 0.9570924037216496}",20,0,-132.17529736291556,"{0: 10, 1: 0, 2: 8, 3: 1, 4: 1}",0
295,False,"{'a': 0.6, 'e': 0.9568021423210139}",20,0,-121.10429470224008,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
296,False,"{'a': 0.6, 'e': 0.9565109241183156}",20,0,-39.706074578960056,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
297,False,"{'a': 0.6, 'e': 0.9562187494047729}",20,5,-121.332011199791,"{0: 7, 1: 4, 2: 1, 3: 1, 4: 2}",1
298,False,"{'a': 0.6, 'e': 0.9559256184725605}",20,0,-139.99310908449308,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
299,False,"{'a': 0.6, 'e': 0.9556315316148093}",30,0,-168.97866618657116,"{0: 19, 1: 2, 2: 6, 3: 0, 4: 3}",0
300,False,"{'a': 0.6, 'e': 0.955336489125606}",20,0,-33.47989998624888,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
301,False,"{'a': 0.6, 'e': 0.9550404912999932}",20,0,-45.28470365017992,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
302,False,"{'a': 0.6, 'e': 0.9547435384339689}",25,0,-67.601142417748,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
303,False,"{'a': 0.6, 'e': 0.9544456308244855}",20,6,-32.00244325508584,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 0}",1
304,False,"{'a': 0.6, 'e': 0.9541467687694509}",25,0,-157.91098922105286,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
305,False,"{'a': 0.6, 'e': 0.9538469525677271}",25,13,-20.085562181002324,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
306,False,"{'a': 0.6, 'e': 0.9535461825191301}",20,0,-14.2141209611477,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
307,False,"{'a': 0.6, 'e': 0.9532444589244301}",20,0,-164.0056920484305,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
308,False,"{'a': 0.6, 'e': 0.9529417820853506}",20,3,-53.832423758051014,"{0: 12, 1: 0, 2: 3, 3: 2, 4: 0}",1
309,False,"{'a': 0.6, 'e': 0.9526381523045685}",20,0,-239.09363458957836,"{0: 8, 1: 2, 2: 4, 3: 2, 4: 4}",0
310,False,"{'a': 0.6, 'e': 0.9523335698857134}",30,0,-43.829570511599364,"{0: 21, 1: 4, 2: 5, 3: 0, 4: 0}",0
311,False,"{'a': 0.6, 'e': 0.9520280351333678}",20,0,-10.243513477512135,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
312,False,"{'a': 0.6, 'e': 0.9517215483530664}",25,0,-65.14055946030287,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
313,False,"{'a': 0.6, 'e': 0.9514141098512959}",20,0,-61.40005360565643,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
314,False,"{'a': 0.6, 'e': 0.951105719935495}",20,0,-93.63524346388995,"{0: 12, 1: 4, 2: 1, 3: 2, 4: 1}",0
315,False,"{'a': 0.6, 'e': 0.9507963789140532}",20,0,-15.146834297479028,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
316,False,"{'a': 0.6, 'e': 0.9504860870963119}",20,0,-186.57404070917582,"{0: 8, 1: 1, 2: 7, 3: 2, 4: 2}",0
317,False,"{'a': 0.6, 'e': 0.9501748447925626}",20,0,4.515574670523907,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
318,False,"{'a': 0.6, 'e': 0.9498626523140478}",30,0,-143.24165230575062,"{0: 20, 1: 3, 2: 3, 3: 2, 4: 2}",0
319,False,"{'a': 0.6, 'e': 0.9495495099729597}",25,17,-31.786966536541428,"{0: 6, 1: 0, 2: 0, 3: 2, 4: 0}",1
320,False,"{'a': 0.6, 'e': 0.9492354180824408}",20,0,-173.6965152445314,"{0: 8, 1: 4, 2: 4, 3: 2, 4: 2}",0
321,False,"{'a': 0.6, 'e': 0.948920376956583}",25,0,-105.86621285857365,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
322,False,"{'a': 0.6, 'e': 0.9486043869104273}",20,6,-82.38064776872027,"{0: 7, 1: 3, 2: 2, 3: 1, 4: 1}",1
323,False,"{'a': 0.6, 'e': 0.9482874482599637}",20,0,-209.23460338211567,"{0: 9, 1: 3, 2: 4, 3: 0, 4: 4}",0
324,False,"{'a': 0.6, 'e': 0.9479695613221308}",25,0,-169.51975132845172,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
325,False,"{'a': 0.6, 'e': 0.9476507264148157}",30,0,-178.58883297136745,"{0: 20, 1: 2, 2: 3, 3: 2, 4: 3}",0
326,False,"{'a': 0.6, 'e': 0.9473309438568531}",25,0,-159.2764587849261,"{0: 15, 1: 0, 2: 6, 3: 2, 4: 2}",0
327,False,"{'a': 0.6, 'e': 0.9470102139680256}",20,6,-34.24668763638825,"{0: 9, 1: 0, 2: 5, 3: 0, 4: 0}",1
328,False,"{'a': 0.6, 'e': 0.9466885370690631}",25,0,-123.64598404893759,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
329,False,"{'a': 0.6, 'e': 0.9463659134816423}",30,0,-145.9552053964982,"{0: 17, 1: 4, 2: 7, 3: 0, 4: 2}",0
330,False,"{'a': 0.6, 'e': 0.946042343528387}",35,20,-23.412606766128555,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
331,False,"{'a': 0.6, 'e': 0.9457178275328669}",20,0,-160.3843234282558,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
332,False,"{'a': 0.6, 'e': 0.9453923658195982}",25,0,-135.84046279948234,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 2}",0
333,False,"{'a': 0.6, 'e': 0.9450659587140423}",25,0,-134.53221110368563,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
334,False,"{'a': 0.6, 'e': 0.9447386065426066}",20,8,-5.570643968727648,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
335,False,"{'a': 0.6, 'e': 0.944410309632643}",20,0,-43.41583351075077,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
336,False,"{'a': 0.6, 'e': 0.9440810683124485}",20,0,-64.79793669953874,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
337,False,"{'a': 0.6, 'e': 0.9437508829112643}",30,0,-99.08005098482171,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 2}",0
338,False,"{'a': 0.6, 'e': 0.9434197537592759}",20,0,-177.79339315844928,"{0: 8, 1: 1, 2: 8, 3: 1, 4: 2}",0
339,False,"{'a': 0.6, 'e': 0.9430876811876123}",20,0,-19.603597702764496,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
340,False,"{'a': 0.6, 'e': 0.9427546655283462}",25,0,-203.6802925768367,"{0: 9, 1: 3, 2: 10, 3: 1, 4: 2}",0
341,False,"{'a': 0.6, 'e': 0.9424207071144931}",20,0,-188.28560394414862,"{0: 11, 1: 0, 2: 4, 3: 2, 4: 3}",0
342,False,"{'a': 0.6, 'e': 0.9420858062800114}",35,0,-236.90917382982516,"{0: 21, 1: 3, 2: 5, 3: 2, 4: 4}",0
343,False,"{'a': 0.6, 'e': 0.941749963359802}",20,0,-114.97469647534079,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 2}",0
344,False,"{'a': 0.6, 'e': 0.9414131786897075}",20,0,-204.4933785084678,"{0: 10, 1: 0, 2: 6, 3: 0, 4: 4}",0
345,False,"{'a': 0.6, 'e': 0.941075452606513}",25,0,-41.69601392449536,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
346,False,"{'a': 0.6, 'e': 0.9407367854479443}",20,0,-194.488531758291,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 4}",0
347,False,"{'a': 0.6, 'e': 0.9403971775526684}",30,0,-155.76261598436557,"{0: 20, 1: 2, 2: 5, 3: 0, 4: 3}",0
348,False,"{'a': 0.6, 'e': 0.9400566292602934}",30,7,-103.63722214261931,"{0: 16, 1: 2, 2: 2, 3: 1, 4: 2}",1
349,False,"{'a': 0.6, 'e': 0.9397151409113674}",20,0,-94.9923598647161,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
350,False,"{'a': 0.6, 'e': 0.9393727128473789}",20,0,-95.94332195884138,"{0: 12, 1: 1, 2: 3, 3: 4, 4: 0}",0
351,False,"{'a': 0.6, 'e': 0.9390293454107558}",25,0,-96.59506122846726,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
352,False,"{'a': 0.6, 'e': 0.9386850389448655}",25,0,-21.44821781221598,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
353,False,"{'a': 0.6, 'e': 0.9383397937940146}",25,0,-54.91738072182648,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
354,False,"{'a': 0.6, 'e': 0.937993610303448}",25,0,-114.51378932843738,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
355,False,"{'a': 0.6, 'e': 0.9376464888193493}",20,0,-98.40618446526543,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
356,False,"{'a': 0.6, 'e': 0.9372984296888399}",25,0,-112.01732687054421,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
357,False,"{'a': 0.6, 'e': 0.9369494332599789}",35,0,-85.81203073476131,"{0: 26, 1: 0, 2: 8, 3: 0, 4: 1}",0
358,False,"{'a': 0.6, 'e': 0.9365994998817627}",30,0,-136.82401649888456,"{0: 21, 1: 2, 2: 3, 3: 2, 4: 2}",0
359,False,"{'a': 0.6, 'e': 0.9362486299041247}",20,0,-83.18304043497402,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
360,False,"{'a': 0.6, 'e': 0.9358968236779348}",20,0,-43.45428168623672,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
361,False,"{'a': 0.6, 'e': 0.9355440815549994}",30,0,-185.32757439885165,"{0: 17, 1: 3, 2: 7, 3: 0, 4: 3}",0
362,False,"{'a': 0.6, 'e': 0.9351904038880602}",20,0,-55.391679906936616,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
363,False,"{'a': 0.6, 'e': 0.9348357910307951}",20,3,-10.153728841154885,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
364,False,"{'a': 0.6, 'e': 0.9344802433378168}",20,0,-107.63851579364133,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
365,False,"{'a': 0.6, 'e': 0.9341237611646731}",20,0,-201.00548916160142,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 4}",0
